[xUnit.net 00:00:00.19]     Pocketree.Api.Tests.Services.MissionServiceTests.MissionService_LocationSlots_CoverEntireMapArea [FAIL]
[xUnit.net 00:00:00.44]     Pocketree.Api.Tests.Controllers.AdminApiControllerTests.SendPrivateMessage_WithEmptyMessage_ReturnsBadRequest [FAIL]
[xUnit.net 00:00:00.44]     Pocketree.Api.Tests.Controllers.AdminControllerTests.Admin_Index_WithoutSession_RedirectsToLogin [FAIL]
[xUnit.net 00:00:00.48]     Pocketree.Api.Tests.Controllers.AdminControllerTests.Admin_BroadcastMessage_CreatesNotificationRecord [FAIL]
[xUnit.net 00:00:00.48]     Pocketree.Api.Tests.Controllers.AdminApiControllerTests.FetchUsersOnline_ReturnsOnlyOnlinePlayers [FAIL]
[xUnit.net 00:00:00.48]     Pocketree.Api.Tests.Controllers.AdminControllerTests.Admin_BroadcastMessage_WithEmptyMessage_ReturnsBadRequest [FAIL]
[xUnit.net 00:00:00.48]     Pocketree.Api.Tests.Controllers.AdminApiControllerTests.SendPrivateMessage_WithoutSession_ReturnsUnauthorized [FAIL]
[xUnit.net 00:00:00.48]     Pocketree.Api.Tests.Controllers.AdminControllerTests.Admin_Logout_SetsIsOnlineToFalse [FAIL]
[xUnit.net 00:00:00.48]     Pocketree.Api.Tests.Controllers.AdminControllerTests.Admin_Index_WithValidSession_ReturnsView [FAIL]
[xUnit.net 00:00:00.49]     Pocketree.Api.Tests.Controllers.AdminApiControllerTests.FetchUsersQueries_ReturnsOnlyUsersWithQueries [FAIL]
[xUnit.net 00:00:00.49]     Pocketree.Api.Tests.ErrorHandlingTests.User_WithInvalidLevelID_ThrowsException [FAIL]
[xUnit.net 00:00:00.49]     Pocketree.Api.Tests.Controllers.AdminApiControllerTests.FetchAllUsers_ReturnsOnlyPlayers [FAIL]
[xUnit.net 00:00:00.49]     Pocketree.Api.Tests.Controllers.AdminApiControllerTests.ClearUserQueryStatus_ClearsSupportQuery [FAIL]
[xUnit.net 00:00:00.52]     Pocketree.Api.Tests.Entities.GlobalMissionTests.GlobalMission_TreeCount_CanBeIncremented [FAIL]
[xUnit.net 00:00:00.52]     Pocketree.Api.Tests.Entities.GlobalMissionTests.GlobalMission_IsCompleted_WhenTargetReached [FAIL]
[xUnit.net 00:00:00.54]     Pocketree.Api.Tests.TaskCompletionTests.TaskCompletion_NormalTask_AwardsCorrectCoins [FAIL]
[xUnit.net 00:00:00.55]     Pocketree.Api.Tests.Entities.UserRelationshipTests.UserVoucher_CanBeRedeemed [FAIL]
[xUnit.net 00:00:00.56]     Pocketree.Api.Tests.TaskCompletionTests.TaskCompletion_ReachingLevel2_LevelsUp [FAIL]
[xUnit.net 00:00:00.56]     Pocketree.Api.Tests.TaskCompletionTests.TaskCompletion_EasyTask_AwardsCorrectCoins [FAIL]
[xUnit.net 00:00:00.62]     Pocketree.Api.Tests.Integration.UserApiIntegrationTests.Login_Should_ReturnUserWithNewColumns [FAIL]
[xUnit.net 00:00:00.67]     Pocketree.Api.Tests.Integration.UserApiIntegrationTests.Register_Should_CreateUserWithDefaultValues [FAIL]
